iter	Logloss
0	0.6095086838
1	0.5488178496
2	0.4864434941
3	0.4766381621
4	0.4568275161
5	0.4359316107
6	0.4034678151
7	0.3861824615
8	0.3676642489
9	0.3559331836
10	0.3517115887
11	0.3444751655
12	0.3371207413
13	0.3368882175
14	0.3353475345
15	0.3338906634
16	0.3324943901
17	0.3310923489
18	0.326409543
19	0.3231354085
20	0.3214729717
21	0.3200534843
22	0.3188629805
23	0.3181998731
24	0.3167013644
25	0.3148956191
26	0.3141681515
27	0.3138543188
28	0.312671997
29	0.3118057166
30	0.3108005742
31	0.3100015252
32	0.3094057103
33	0.3087365398
34	0.3082313516
35	0.3077799577
36	0.3071691348
37	0.3067967817
38	0.3062830606
39	0.3058898675
40	0.3055291175
41	0.3051934412
42	0.3049080081
43	0.3046498431
44	0.3043270591
45	0.3040796426
46	0.3037949835
47	0.3035543879
48	0.3034079837
49	0.3032674387
50	0.3031357662
51	0.3029468155
52	0.3028050859
53	0.3026542275
54	0.30250843
55	0.3023496012
56	0.3021631682
57	0.3020323406
58	0.3019279137
59	0.301777013
60	0.3017421497
61	0.3016213888
62	0.301489983
63	0.3014026008
64	0.3013014752
65	0.3011574826
66	0.3010336963
67	0.3009437018
68	0.3008572268
69	0.3007806416
70	0.3007364303
71	0.3006717627
72	0.3005986162
73	0.3005142434
74	0.3004478105
75	0.3003949511
76	0.3003448433
77	0.300268713
78	0.3002036602
79	0.3001338068
80	0.3000636849
81	0.2999854497
82	0.2999317438
83	0.2998972964
84	0.2998523532
85	0.2998056041
86	0.299750978
87	0.2997112037
88	0.2996511551
89	0.2996060838
90	0.2995612578
91	0.2995159372
92	0.2994762914
93	0.2994330697
94	0.2994040467
95	0.2993607815
96	0.299327556
97	0.2993010823
98	0.2992570301
99	0.2992301505
100	0.2991901915
101	0.2991586878
102	0.2991284775
103	0.2990871283
104	0.2990503914
105	0.2990167916
106	0.2989870209
107	0.2989542456
108	0.2989303939
109	0.2989064579
110	0.2988801005
111	0.2988530388
112	0.2988284967
113	0.2988020218
114	0.298780179
115	0.2987583687
116	0.2987420705
117	0.2987081174
118	0.2986812151
119	0.2986537695
120	0.2986348715
121	0.2986045557
122	0.2985844391
123	0.2985669861
124	0.2985462496
125	0.2985260136
126	0.2985109274
127	0.2984890561
128	0.2984655663
129	0.2984405826
130	0.2984197581
131	0.2983989035
132	0.2983805084
133	0.2983667453
134	0.2983415869
135	0.2983274408
136	0.2983140204
137	0.2982974308
138	0.298276077
139	0.2982559203
140	0.2982413757
141	0.2982267758
142	0.2982109006
143	0.2981902986
144	0.2981767792
145	0.2981682252
146	0.2981524892
147	0.2981416359
148	0.298127401
149	0.2981170302
150	0.2981050862
151	0.2980878552
152	0.298076991
153	0.2980654532
154	0.298056195
155	0.2980394713
156	0.2980289618
157	0.298014877
158	0.2980047562
159	0.2979920966
160	0.297978684
161	0.2979650098
162	0.2979548444
163	0.2979433992
164	0.2979284244
165	0.2979139309
166	0.2979047307
167	0.2978981568
168	0.2978889611
169	0.2978767295
170	0.2978705312
171	0.297860451
172	0.2978476083
173	0.2978402378
174	0.2978313471
175	0.2978226131
176	0.2978132724
177	0.2978042928
178	0.2977951774
179	0.297789016
180	0.2977789268
181	0.297769337
182	0.2977604875
183	0.2977491282
184	0.297742354
185	0.2977348874
186	0.2977258227
187	0.297719605
188	0.2977130854
189	0.2977050803
190	0.2976959964
191	0.2976900574
192	0.2976812714
193	0.2976746212
194	0.2976675021
195	0.2976608842
196	0.2976522187
197	0.2976460712
198	0.2976408801
199	0.2976352349
200	0.2976292244
201	0.297623274
202	0.2976182874
203	0.2976134789
204	0.2976059781
205	0.2975990027
206	0.2975913188
207	0.2975865034
208	0.2975816341
209	0.2975759279
210	0.297570236
211	0.2975652391
212	0.2975584535
213	0.2975489769
214	0.2975438764
215	0.2975387704
216	0.2975323928
217	0.2975293288
218	0.297522524
219	0.2975146372
220	0.2975099914
221	0.2975055127
222	0.2975005141
223	0.2974935879
224	0.2974861599
225	0.2974861599
226	0.2974803436
227	0.2974766235
228	0.2974711168
229	0.2974659548
230	0.2974611151
231	0.2974569519
232	0.2974537925
233	0.2974491723
234	0.29744562
235	0.297443073
236	0.2974384486
237	0.2974334296
238	0.2974302721
