iter	Passed	Remaining
0	0	849
1	1	666
2	1	599
3	2	508
4	2	493
5	3	480
6	3	468
7	3	464
8	4	469
9	4	476
10	5	487
11	6	487
12	6	485
13	7	483
14	7	467
15	7	469
16	8	452
17	8	452
18	9	454
19	9	443
20	9	440
21	10	447
22	10	448
23	11	448
24	11	447
25	12	444
26	12	442
27	12	433
28	13	432
29	13	431
30	14	429
31	14	423
32	14	423
33	15	423
34	15	424
35	16	424
36	16	424
37	17	424
38	17	423
39	18	418
40	18	419
41	18	416
42	19	416
43	19	413
44	20	416
45	21	423
46	21	428
47	22	433
48	23	436
49	23	438
50	24	438
51	24	438
52	25	438
53	25	436
54	26	437
55	26	437
56	27	437
57	27	434
58	28	435
59	28	435
60	29	434
61	29	433
62	30	433
63	30	433
64	31	433
65	31	432
66	32	432
67	32	431
68	33	429
69	33	429
70	33	428
71	34	427
72	34	427
73	35	424
74	35	424
75	36	423
76	36	424
77	37	426
78	38	427
79	38	426
80	39	426
81	39	427
82	40	428
83	40	428
84	41	429
85	41	428
86	42	428
87	42	428
88	43	428
89	44	428
90	44	427
91	44	426
92	45	425
93	45	424
94	46	424
95	46	423
96	47	423
97	47	422
98	48	421
99	48	421
100	49	420
101	49	420
102	50	419
103	50	418
104	50	417
105	51	416
106	51	416
107	52	416
108	52	416
109	53	415
110	53	415
111	54	415
112	55	415
113	55	415
114	56	415
115	56	415
116	57	415
117	57	414
118	57	412
119	58	412
120	58	411
121	59	411
122	59	410
123	60	410
124	60	409
125	61	408
126	61	408
127	62	407
128	62	407
129	63	406
130	63	405
131	64	404
132	64	404
133	65	403
134	65	403
135	65	400
136	66	400
137	66	399
138	67	399
139	67	397
140	67	397
141	68	397
142	69	398
143	69	398
144	70	399
145	71	399
146	71	398
147	72	398
148	72	398
149	73	397
150	73	397
151	74	396
152	74	395
153	74	393
154	75	393
155	75	391
156	75	390
157	76	388
158	76	388
159	76	386
160	77	386
161	77	385
162	77	383
163	78	383
164	78	382
165	79	382
166	79	381
167	80	380
168	80	380
169	81	379
170	81	378
171	81	377
172	82	377
173	82	376
174	83	376
175	83	376
176	84	376
177	84	376
178	85	376
179	85	375
180	86	374
181	86	374
182	87	373
183	87	373
184	87	371
185	88	370
186	88	370
187	89	369
188	89	369
189	89	367
190	90	367
191	90	365
192	91	365
193	91	364
194	92	363
195	92	362
196	92	362
197	93	361
198	93	360
199	94	360
200	94	359
201	94	359
202	95	358
203	95	358
204	96	357
205	96	356
206	97	355
207	97	355
208	97	354
209	98	354
210	98	353
211	99	352
212	99	352
213	100	352
214	100	351
215	101	351
216	101	351
217	102	350
218	102	350
219	103	349
220	103	348
221	103	348
222	104	347
223	104	347
224	105	346
225	105	346
226	106	345
227	106	345
228	106	343
229	107	343
230	107	342
231	108	341
232	108	341
233	108	340
234	109	340
235	109	339
236	109	337
237	110	337
238	110	336
239	111	336
240	111	335
241	111	334
242	112	334
243	112	333
244	113	333
245	113	332
246	114	332
247	114	332
248	115	332
249	115	331
250	116	330
251	116	330
252	117	330
253	117	329
254	117	328
255	118	328
256	118	327
257	119	327
258	119	326
259	120	326
260	120	325
261	121	325
262	121	324
263	121	324
264	122	323
265	122	322
266	122	321
267	123	321
268	123	320
269	124	320
270	124	319
271	125	319
272	125	318
273	125	318
